usearea_id,area_name,country,description,mbr_tr_lat,mbr_tr_lon,mbr_bl_lat,mbr_bl_lon,angle_id,prime_merid
261,ASIA/USSR ,WORLD,ASIA/USSR ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
262,MAINLAND CHINA ,WORLD,MAINLAND CHINA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
263,USA TENNESSEE (1 ZONE) ,WORLD,USA TENNESSEE (1 ZONE) ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
264,TIMAN PECHORA PROVINCE ,WORLD,TIMAN PECHORA PROVINCE ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
265,TPC CHART K-27 N VENEZUELA ,WORLD,TPC CHART K-27 N VENEZUELA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
266,TPC CHART L-26 NE COLOMBIA ,WORLD,TPC CHART L-26 NE COLOMBIA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
267,ONSHORE TURKEY ,WORLD,ONSHORE TURKEY ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
268,NORTHERN TURKEY ,WORLD,NORTHERN TURKEY ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
269,USA TEXAS CO'S BET 30.10/32N ,WORLD,USA TEXAS CO'S BET 30.10/32N ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
270,USA TEXAS CO'S NOF 034-20N. ,WORLD,USA TEXAS CO'S NOF 034-20N. ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
271,UAS TEXAS CO'S BET 20-05/30-10,WORLD,UAS TEXAS CO'S BET 20-05/30-10,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
272,USA TEXAS CO'S SOUTH OF 028-05,WORLD,USA TEXAS CO'S SOUTH OF 028-05,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
273,USSR ,WORLD,USSR ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
274,USA UTAH CO'S BT 038-30/040-50,WORLD,USA UTAH CO'S BT 038-30/040-50,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
275,USA UTAH CO'S NOF 040-50N. ,WORLD,USA UTAH CO'S NOF 040-50N. ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
276,USA UTAH CO'S SOF 038-30N. ,WORLD,USA UTAH CO'S SOF 038-30N. ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
277,WEST VENEZUELA ,WORLD,WEST VENEZUELA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
278,VIETNAM ,WORLD,VIETNAM ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
279,USA VIRGINIA CO'S NOF 038-05N.,WORLD,USA VIRGINIA CO'S NOF 038-05N.,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
280,USA VIRGINIA CO'S SOF 038-05N.,WORLD,USA VIRGINIA CO'S SOF 038-05N.,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
281,USA WISCONSIN 044-15//045-35N.,WORLD,USA WISCONSIN 044-15//045-35N.,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
282,USA WISCONSIN CO'S NOF 045-35N,WORLD,USA WISCONSIN CO'S NOF 045-35N,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
283,USA WISCONSIN CO'S SOF 044-15N,WORLD,USA WISCONSIN CO'S SOF 044-15N,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
284,USA WASHINGTON CO'S NOF 047-30,WORLD,USA WASHINGTON CO'S NOF 047-30,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
285,USA WEST VIRGINIA CO'S NOF 039,WORLD,USA WEST VIRGINIA CO'S NOF 039,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
286,CALIFORNIA ,WORLD,CALIFORNIA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
