datum_name,description,spheroid_name,merid_id,origin_name,origin_lat,origin_long,angle_id,origin_height,height_id,usearea_id,ref_datum,source,visibility,release
BEDUARAM,BEDUARAM ,CLA80IGN,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,3,,PNM 3 APRIL 1990 ELF TOPO CARTO ,SURVEY,PUBLIC 
BEIJING ,BEIJING 1954 ,KRAS1940,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,RJL 22/3/83. USED ONSHORE CHINA. ,SURVEY,PUBLIC 
BELG50 ,BELGIUM 1950 ,INT24 ,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,RJL 3/5/84. USED FOR BELGIAN TOPOGRAPHICMAPPING. ,SURVEY,PUBLIC 
BERNNEW ,BERN ,BESS1841,1 ,BERN OBSERVATORY ,46.9524056 ,7.4395833 ,1 ,0.0 ,1 ,1,,SJM 16/9/83 REF:J.BOLLIGER PAPER USED IN SWITZERLAND. ,SURVEY,PUBLIC 
BOGOTA ,BOGOTA ,INT24 ,1 ,BOGOTA OBSERVATORY ,4.5990472 ,-74.0809167 ,1 ,0.0 ,1 ,1,,RJL 22/3/83. USED FOR COLOMBIAN TOPO. MAPPING. ,SURVEY,PUBLIC 
CAMACUPA,CAMACUPA ,CLA80MOD,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,RJL 22/12/83. DATUM REFERRED TO ON TOTAL MAP OF OFFSHORE ANGOLA. ,SURVEY,PUBLIC 
CAPE ,CAPE DATUM ,CLA80MOD,1 ,BURENKAMP ,-26.6508386 ,15.1661925 ,1 ,0.0 ,1 ,4,,RAS - 19/2/91. OBTAINED FROM HGS. ,SURVEY,PUBLIC 
CARTHAGE,CARTHAGE ,CLA80IGN,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,RJL 4/4/83. USED IN TUNISIA. ,SURVEY,PUBLIC 
CHUA ,CHUA ASTRONOMIC ,INT24 ,1 ,CHUA ,-19.7614333 ,-48.1021 ,1 ,0.0 ,1 ,1,,SJM 28/2/84 REF:GEODESY BY MAGNAVOX USED IN PARTS OF BRAZIL. ,SURVEY,PUBLIC 
CLRK1866 ,NORTH AMERICAN 1927 ,CLA66MTR,1 ,MEADE'S RANCH ,39.2240794 ,-98.5418072 ,1 ,0.0 ,1 ,1,,R. GORDON 27/2/89 COPIED FROM NAD27MTR ,SURVEY,PUBLIC 
CMPOINCH,CAMPO INCHAUSTE ,INT24 ,1 ,CAMPO INCHAUSTE ,-35.9713889 ,-62.17 ,1 ,0.0 ,1 ,1,,SJM 28/2/84 REF: GEODESY BY MAGNAVOX USED IN ARGENTINA. ,SURVEY,PUBLIC 
CORRALEG,CORREGO ALEGRE ,INT24 ,1 ,CORREGO ALEGRE ,-19.8375389 ,-48.961875 ,1 ,0.0 ,1 ,1,,SJM 28/2/83 REF:GEODESY BY MAGNAVOX USED IN PARTS OF BRAZIL. ,SURVEY,PUBLIC 
DEIR ,DEIR EZ ZOR ,CLA80IGN,1 ,TRIG 254 AT DEIR ,35.3638819 ,40.096325 ,1 ,0.0 ,1 ,5,,PNM 26 JAN 1990 SURVEY CONTRACT SYRIA LAND SEISMIC 1990 ,SURVEY,PUBLIC 
ED50 ,EUROPEAN DATUM 1950 ,INT24 ,1 ,POTSDAM(HELMERT TWR),52.3809583 ,13.0663167 ,1 ,0.0 ,1 ,1,,SJM 28/2/84 REF: GEODESY BY MAGNAVOX USED IN NORTH SEA. ,SURVEY,PUBLIC
ED50EGYT,EUROPEAN DATUM 1950 ,INT24 ,1 ,POINT F1 ,30.0298853 ,31.2779997 ,1 ,0.0 ,1 ,6,,D. STOKES 8 NOV 1989. FROM DR. TOM GREENSHIELDS MILITARY SURVEY FELTHAM. ,SURVEY,PUBLIC 
ED50SVAL,ED50 (SVALBARD) ,INT24 ,1 ,POTSDAM HELMERT TWR.,52.3809583 ,13.0663167 ,1 ,0.0 ,1 ,1,,NJS 23.07.86 - FROM RJL 24.06.86 REF. TCW 1986 SEISMIC CONTROL REPORT ,SURVEY,PUBLIC 
EDMCE75 ,EUROPEAN [ED(MCE)75],INT24 ,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,RJL 7/11/84. REF: TRIG FILE. Expression of European Datum 1950 in southern Oman.,SURVEY,PUBLIC 
EGYPT07 ,EGYPT 1907 ,HELM1906,1 ,STATION F1 ,30.0285722 ,31.276 ,1 ,0.0 ,1 ,1,,RJL 22/2/83 REF: S145 USED IN EGYPT. ,SURVEY,PUBLIC 
